dagangkosta	d a ɡ a ŋ k o s t a
dagangparang	d a ɡ a ŋ p a ɾ a ŋ
dagangputi	d a ɡ a ŋ p u t i ʔ
dagas	d a ɡ a s
dagasa	d a ɡ a s a ʔ
dagasdas	d a ɡ a s d a s
dagat	d a ɡ a t
dagatdagatan	d a ɡ a t d a ɡ a t a n
dagatan	d a ɡ a t a n
dagdag	d a ɡ d a ɡ
dagdagbawas	d a ɡ d a ɡ b a w a s
dagdagyaman	d a ɡ d a ɡ j a m a n
dagdagan	d a ɡ d a ɡ a n
dagibalani	d a ɡ i b a l a n i ʔ
dagibalniin	d a ɡ i b a l n i ʔ i n
dagibulog	d a ɡ i b u l o ɡ
dagihaynayan	d a ɡ i h a j n a j a n
dagikapnayan	d a ɡ i k a p n a j a n
dagil	d a ɡ i l
dagilap	d a ɡ i l a p
dagilusaw	d a ɡ i l u s a w
dagim	d a ɡ i m
dagindas	d a ɡ i n d a s
daginding	d a ɡ i n d i ŋ
dagipik	d a ɡ i p i k
dagis	d a ɡ i s
dagisdis	d a ɡ i s d i s
dagisik	d a ɡ i s i k
dagisikan	d a ɡ i s i k a n
dagison	d a ɡ i s o n
dagit	d a ɡ i t
dagitab	d a ɡ i t a b
dagitban	d a ɡ i t b a n
dagitigilan	d a ɡ i t i ɡ i l a n
dagitsigan	d a ɡ i t s i ɡ a n
dagitsipat	d a ɡ i t s i p a t
daglat	d a ɡ l a t
dagli	d a ɡ l i ʔ
dagok	d a ɡ o k
dagos	d a ɡ o s
dagsa	d a ɡ s a ʔ
dagsin	d a ɡ s i n
dagsinbiling	d a ɡ s i n b i l i ŋ
dagsinsukatan	d a ɡ s i n s u k a t a n
dagsinsukatin	d a ɡ s i n s u k a t i n
dagta	d a ɡ t a ʔ
dagubang	d a ɡ u b a ŋ
dagubdob	d a ɡ u b d o b
daguldol	d a ɡ u l d o l
dagundong	d a ɡ u n d o ŋ
dagungdong	d a ɡ u ŋ d o ŋ
dagusdos	d a ɡ u s d o s
dahak	d a h a k
dahan	d a h a n
dahandahan	d a h a n d a h a n
dahas	d a h a s
dahik	d a h i k
dahikan	d a h i k a n
dahil	d a h i l
dahilan	d a h i l a n
dahilig	d a h i l i ɡ
dahiyo	d a h i o ʔ
dahon	d a h o n
dahonpalay	d a h o n p a l a j
dahonggabe	d a h o ŋ ɡ a b e
dahonggabi	d a h o ŋ ɡ a b i
dahongpalay	d a h o ŋ p a l a j
dahop	d a h o p
dahumpalay	d a h u m p a l a j
dahungpalay	d a h u ŋ p a l a j
dahuyo	d a h u j o ʔ
daidi	d a ʔ i d i ʔ
daig	d a ʔ i ɡ
daigdig	d a ʔ i ɡ d i ɡ
daing	d a ʔ i ŋ
dairi	d a ʔ i ɾ i ʔ
dais	d a ʔ i s
dait	d a i t
daka	d a k a
dakbatlag	d a k b a t l a ɡ
dakdak	d a k d a k
dakila	d a k i l a ʔ
dakip	d a k i p
daklunsod	d a k l u n s o d
dakma	d a k m a ʔ
dako	d a k o ʔ
dakol	d a k o l
dakot	d a k o t
dakota	d a k o t a
daks	d a k s
daksipat	d a k s i p a t
daktao	d a k t a ʔ o
daktinig	d a k t i n i ɡ
dakutin	d a k u t i n
dala	d a l a
daladala	d a l a d a l a
daladalahan	d a l a d a l a h a n
dalag	d a l a ɡ
dalagdagat	d a l a ɡ d a ɡ a t
dalaga	d a l a ɡ a
dalagambukid	d a l a ɡ a m b u k i d
dalagangbukid	d a l a ɡ a ŋ b u k i d
dalaginday	d a l a ɡ i n d a j
dalaginding	d a l a ɡ i n d i ŋ
dalagita	d a l a ɡ i t a
dalahik	d a l a h i k
dalahikan	d a l a h i k a n
dalahin	d a l a h i n
dalahira	d a l a h i ɾ a ʔ
dalam	d a l a m
dalamhati	d a l a m h a t i ʔ
dalampasig	d a l a m p a s i ɡ
dalampasigan	d a l a m p a s i ɡ a n
dalandan	d a l a n d a n
dalang	d a l a ŋ
dalangat	d a l a ŋ a t
dalanghita	d a l a ŋ h i t a
dalangin	d a l a ŋ i n
dalanginan	d a l a ŋ i n a n
dalas	d a l a s
dalasan	d a l a s a n
dalatan	d a l a t a n
dalaw	d a l a w
dalawa	d a l a w a
dalawampu	d a l a w a m p u ʔ
dalawandaan	d a l a w a n d a ʔ a n
dalawin	d a l a w i n
dalawit	d a l a w i t
daldal	d a l d a l
daldalera	d a l d a l e ɾ a
daldalero	d a l d a l e ɾ o
dalhin	d a l h i n
dali	d a l i ʔ
dalig	d a l i ɡ
dalikdik	d a l i k d i k
dalin	d a l i n
daliri	d a l i ɾ i ʔ
dalisay	d a l i s a j
dalit	d a l i t
dalita	d a l i t a ʔ
dalmatika	d a l m a t i k a
dalo	d a l o
dalohaka	d a l o h a k a ʔ
dalok	d a l o k
dalos	d a l o s
daloy	d a l o j
dalubagham	d a l u b ʔ a ɡ h a m
dalubagimat	d a l u b ʔ a ɡ i m a t
dalubibon	d a l u b ʔ i b o n
dalubibunan	d a l u b ʔ i b u n a n
dalubisda	d a l u b ʔ i s d a ʔ
dalubisdaan	d a l u b ʔ i s d a ʔ a n
dalubisip	d a l u b ʔ i s i p
dalubisipan	d a l u b ʔ i s i p a n
dalubulnong	d a l u b ʔ u l n o ŋ
dalubulnungan	d a l u b ʔ u l n u ŋ a n
dalubbanwa	d a l u b b a n w a
dalubbanwahan	d a l u b b a n w a h a n
dalubguro	d a l u b ɡ u ɾ o ʔ
dalubhalman	d a l u b h a l m a n
dalubhalmanan	d a l u b h a l m a n a n
dalubhasa	d a l u b h a s a ʔ
dalubhasaan	d a l u b h a s a ʔ a n
dalubhasikan	d a l u b h a s i k a n
dalubhayop	d a l u b h a j o p
dalubhayupan	d a l u b h a j u p a n
dalubituinan	d a l u b i t u ʔ i n a n
dalubkabibihan	d a l u b k a b i b i h a n
dalubkatawan	d a l u b k a t a w a n
dalubkulisap	d a l u b k u l i s a p
dalubkulisapan	d a l u b k u l i s a p a n
dalublahi	d a l u b l a h i ʔ
dalublahian	d a l u b l a h i ʔ a n
dalublasunan	d a l u b l a s u n a n
dalublumutan	d a l u b l u m u t a n
dalubmagingan	d a l u b m a ɡ i ŋ a n
dalubmayawan	d a l u b m a j a w a n
dalubpuhoy	d a l u b p u h o j
dalubpuhuyan	d a l u b p u h u j a n
dalubseguro	d a l u b s e ɡ u ɾ o
dalubsining	d a l u b s i n i ŋ
dalubsugaan	d a l u b s u ɡ a ʔ a n
dalubtala	d a l u b t a l a ʔ
dalubtalaan	d a l u b t a l a ʔ a n
dalubtalain	d a l u b t a l a ʔ i n
dalubtangi	d a l u b t a ŋ i ʔ
dalubtao	d a l u b t a ʔ o
dalubtauhan	d a l u b t a ʔ u h a n
dalubturo	d a l u b t u ɾ o ʔ
dalubwika	d a l u b w i k a ʔ
dalubwikaan	d a l u b w i k a ʔ a n
daluhaka	d a l u h a k a ʔ
daluhong	d a l u h o ŋ
dalumat	d a l u m a t
dalungyan	d a l u ŋ j a n
daluro	d a l u ɾ o ʔ
dalurok	d a l u ɾ o k
daluwa	d a l u a
daluyangluha	d a l u j a ŋ l u h a ʔ
daluyon	d a l u j o n
daluyong	d a l u j o ŋ
daluyongbagyo	d a l u j o ŋ b a ɡ j o
dalwa	d a l w a
dalya	d a l j a
dama	d a m a
damadama	d a m a d a m a
damarama	d a m a ɾ a m a
damag	d a m a ɡ
damahan	d a m a h a n
damak	d a m a k
damara	d a m a ɾ a
damarama	d a m a ɾ a m a
damay	d a m a j
dambalasek	d a m b a l a s e k
dambana	d a m b a n a ʔ
dambo	d a m b o
dambong	d a m b o ŋ
dambuhala	d a m b u h a l a ʔ
damdam	d a m d a m
damdamin	d a m d a m i n
dami	d a m i
damikay	d a m i k a j
damit	d a m i t
damitpanloob	d a m i t p a n l o ʔ o b
damongdagat	d a m o ŋ d a ɡ a t
damongmarya	d a m o ŋ m a ɾ j a
damot	d a m o t
dampa	d a m p a ʔ
dampalit	d a m p a l i t
dampi	d a m p i ʔ
dampot	d a m p o t
dampulay	d a m p u l a j
damsiha	d a m s i h a ʔ
damuhan	d a m u h a n
damuho	d a m u h o ʔ
damukal	d a m u k a l
damukol	d a m u k o l
damulag	d a m u l a ɡ
damuro	d a m u ɾ o ʔ
danak	d a n a k
danan	d a n a n
danas	d a n a s
danaw	d a n a w
danay	d a n a j
dandang	d a n d a ŋ
dang	d a ŋ
dangal	d a ŋ a l
dangan	d a ŋ a n
dangdang	d a ŋ d a ŋ
danggit	d a ŋ ɡ i t
dangkal	d a ŋ k a l
dangkanghawok	d a ŋ k a ŋ h a w o k
dani	d a n i ʔ
daniw	d a n i w
dansay	d a n s a j
dantaon	d a n t a ʔ o n
dantay	d a n t a j
dantayan	d a n t a j a n
danum	d a n u m
danumisigan	d a n u m ʔ i s i ɡ a n
danumbiling	d a n u m b i l i ŋ
danumbulog	d a n u m b u l o ɡ
danumhaynayan	d a n u m h a j n a j a n
danumkapnayan	d a n u m k a p n a j a n
danumnayan	d a n u m n a j a n
danumsigwasan	d a n u m s i ɡ w a s a n
danumtigilan	d a n u m t i ɡ i l a n
danyo	d a n j o
danyos	d a n j o s
dao	d a ʔ o
daong	d a ʔ o ŋ
daongdaungan	d a ʔ o ŋ d a ʔ u ŋ a n
daos	d a ʔ o s
dapa	d a p a ʔ
dapal	d a p a l
dapat	d a p a t
dapaw	d a p a w
dapdap	d a p d a p
dapit	d a p i t
dapitumaga	d a p i t ʔ u m a ɡ a
dapithapon	d a p i t h a p o n
dapli	d a p l i ʔ
daplis	d a p l i s
dapo	d a p o ʔ
dapog	d a p o ɡ
dapulak	d a p u l a k
dapuwa	d a p u a ʔ
dapwa	d a p w a ʔ
dara	d a ɾ a
daraan	d a ɾ a ʔ a n
darak	d a ɾ a k
daralawa	d a ɾ a l a w a
daramag	d a ɾ a m a ɡ
darang	d a ɾ a ŋ
daranghita	d a ɾ a ŋ h i t a
daras	d a ɾ a s
darasig	d a ɾ a s i ɡ
darasigsukat	d a ɾ a s i ɡ s u k a t
darating	d a ɾ a t i ŋ
daro	d a ɾ o
dasal	d a s a l
dasik	d a s i k
daso	d a s o
daspan	d a s p a n
daspanin	d a s p a n i n
daster	d a s t e ɾ
datal	d a t a l
datapuwa	d a t a p u a ʔ
datapwa	d a t a p w a ʔ
datapwat	d a t a p w a t
dati	d a t i
datidati	d a t i d a t i
datirati	d a t i ɾ a t i
datibo	d a t i b o
datig	d a t i ɡ
datihan	d a t i h a n
datingan	d a t i ŋ a n
datnan	d a t n a n
dato	d a t o ʔ
datong	d a t o ŋ
datu	d a t u
daulat	d a ʔ u l a t
daungan	d a ʔ u ŋ a n
dausdos	d a ʔ u s d o s
dausdosputik	d a ʔ u s d o s p u t i k
daw	d a w
dawa	d a w a ʔ
dawag	d a w a ɡ
dawak	d a w a k
dawakin	d a w a k i n
dawaksa	d a w a k s a ʔ
dawdaw	d a w d a w
dawha	d a w h a
dawi	d a w i
dawis	d a w i s
dawit	d a w i t
dawong	d a w o ŋ
day	d a j
daya	d a j a ʔ
dayadema	d a j a d e m a
dayag	d a j a ɡ
dayagram	d a j a ɡ ɾ a m
dayakritiko	d a j a k ɾ i t i k o
dayal	d a j a l
dayalek	d a j a l e k
dayalekto	d a j a l e k t o
dayalogo	d a j a l o ɡ o
dayama	d a j a m a
dayami	d a j a m i
dayan	d a j a n
dayang	d a j a ŋ
dayap	d a j a p
dayaper	d a j a p e ɾ
dayigdig	d a j i ɡ d i ɡ
dayiri	d a j i ɾ i ʔ
daynosor	d a j n o s o ɾ
dayo	d a j o
days	d a j s
dayuhan	d a j u h a n
dayukdok	d a j u k d o k
dayungon	d a j u ŋ o n
dayurayo	d a j u ɾ a j o
deabaniko	d e ʔ a b a n i k o
dealkiler	d e ʔ a l k i l e ɾ
debote	d e b o t e
debotelya	d e b o t e l j a
deilo	d e ʔ i l o
dekabra	d e k a b ɾ a
dekalibre	d e k a l i b ɾ e
dekalidad	d e k a l i d a d
dekolor	d e k o l o ɾ
dekoryente	d e k o ɾ j e n t e
dekuryente	d e k u ɾ j e n t e
dekuwatro	d e k u a t ɾ o
dekuwerdas	d e k u e ɾ d a s
dekwatro	d e k w a t ɾ o
demotor	d e m o t o ɾ
detanggal	d e t a ŋ ɡ a l
deadema	d e a d e m a
debatista	d e b a t i s t a
debelop	d e b e l o p
debosyon	d e b o s j o n
deboto	d e b o t o
dedal	d e d a l
dede	d e d e
dedikado	d e d i k a d o
dedikasyon	d e d i k a s j o n
dedlayn	d e d l a j n
degri	d e ɡ ɾ i
dehado	d e h a d o
dehaydrasyon	d e h a j d ɾ a s j o n
dehins	d e h i n s
deilo	d e ʔ i l o
deins	d e j n s
deit	d e j t
dekada	d e k a d a
dekalogo	d e k a l o ɡ o
dekalyete	d e k a l j e t e
dekametro	d e k a m e t ɾ o
dekana	d e k a n a
dekano	d e k a n o
dekanter	d e k a n t e ɾ
deklara	d e k l a ɾ a
deklarasyon	d e k l a ɾ a s j o n
deklibe	d e k l i b e
dekolor	d e k o l o ɾ
dekomposisyon	d e k o m p o s i s j o n
dekorasyon	d e k o ɾ a s j o n
dekorasyunan	d e k o ɾ a s j u n a n
dekoratibo	d e k o ɾ a t i b o
dekoy	d e k o j
dekreto	d e k ɾ e t o
dekstros	d e k s t ɾ o s
delana	d e l a n a
delata	d e l a t a
delegasyon	d e l e ɡ a s j o n
deliberasyon	d e l i b e ɾ a s j o n
delikadesa	d e l i k a d e s a
delikado	d e l i k a d o
deliryo	d e l i ɾ j o
delos	d e l o s
delubyo	d e l u b j o
delusyon	d e l u s j o n
demano	d e m a n o
demograpiya	d e m o ɡ ɾ a p i a
demokrasya	d e m o k ɾ a s j a
demokrata	d e m o k ɾ a t a
demokratiko	d e m o k ɾ a t i k o
demolisyon	d e m o l i s j o n
demonio	d e m o n j o
demonstrasyon	d e m o n s t ɾ a s j o n
demonyo	d e m o n j o
demostrasyon	d e m o s t ɾ a s j o n
denaryo	d e n a ɾ j o
denaturada	d e n a t u ɾ a d a
denaturado	d e n a t u ɾ a d o
dengge	d e ŋ ɡ e
denotasyon	d e n o t a s j o n
dentista	d e n t i s t a
dentisteriya	d e n t i s t e ɾ i a
deodorante	d e o d o ɾ a n t e
deograsyas	d e o ɡ ɾ a s j a s
deontolohiya	d e o n t o l o h i a
depektibo	d e p e k t i b o
depensa	d e p e n s a
depensahan	d e p e n s a h a n
depensibo	d e p e n s i b o
depini	d e p i n i
depinisyon	d e p i n i s j o n
deporestasyon	d e p o ɾ e s t a s j o n
deportasyon	d e p o ɾ t a s j o n
depresasyon	s j
depresyon	d e p ɾ e s j o n
deregulasyon	d e ɾ e ɡ u l a s j o n
deretsa	d e ɾ e t͡ʃ a
deretsahan	d e ɾ e t͡ʃ a h a n
deretso	d e ɾ e t͡ʃ o
desaparesido	d e s ʔ a p a ɾ e s i d o
desayuno	d e s ʔ a j u n o
desempleo	d e s ʔ e m p l e o
desempleyo	d e s ʔ e m p l e o
desesperada	d e s ʔ e s p e ɾ a d a
desesperado	d e s ʔ e s p e ɾ a d o
desesperasyon	d e s ʔ e s p e ɾ a s j o n
desimpeksiyon	d e s ʔ i m p e k s i o n
desodorante	d e s ʔ o d o ɾ a n t e
desoras	d e s ʔ o ɾ a s
desakato	d e s a k a t o
desaparesido	d e s a p a ɾ e s i d o
desayuno	d e s a j u n o
desbentaha	d e s b e n t a h a
desempleo	d e s e m p l e o
desempleyo	d e s e m p l e o
desena	d e s e n a
desente	d e s e n t e
desentralisasyon	d e s e n t ɾ a l i s a s j o n
desepsiyon	d e s e p s i o n
desepsyon	d e s e p s j o n
desesperada	d e s e s p e ɾ a d a
desesperado	d e s e s p e ɾ a d o
desesperasyon	d e s e s p e ɾ a s j o n
desgrasya	d e s ɡ ɾ a s j a
desgrasyada	d e s ɡ ɾ a s j a d a
desgrasyado	d e s ɡ ɾ a s j a d o
desidido	d e s i d i d o
desilitro	d e s i l i t ɾ o
desimetro	d e s i m e t ɾ o
desimpeksiyon	d e s i m p e k s i o n
desisyon	d e s i s j o n
deskaril	d e s k a ɾ i l
deskarte	d e s k a ɾ t e
deskompiyansa	d e s k o m p i a n s a
deskompyansa	d e s k o m p j a n s a
deskripsiyon	d e s k ɾ i p s i o n
deskripsyon	d e s k ɾ i p s j o n
deskubri	d e s k u b ɾ i
deskumpiyado	d e s k u m p i a d o
deskumpiyansa	d e s k u m p i a n s a
deskumpyansa	d e s k u m p j a n s a
deskuwento	d e s k u e n t o
desmaya	d e s m a j a
desodorante	d e s o d o ɾ a n t e
despabiladera	d e s p a b i l a d e ɾ a
despaborisido	d e s p a b o ɾ i s i d o
despalinghado	d e s p a l i ŋ h a d o
desperada	d e s p e ɾ a d a
desperado	d e s p e ɾ a d o
desperasyon	d e s p e ɾ a s j o n
destabilisasyon	d e s t a b i l i s a s j o n
desterado	d e s t e ɾ a d o
destinasyon	d e s t i n a s j o n
destiyero	d e s t i e ɾ o
destornilyador	d e s t o ɾ n i l j a d o ɾ
destruksiyon	d e s t ɾ u k s i o n
desyerto	d e s j e ɾ t o
detalyado	d e t a l j a d o
detalye	d e t a l j e
detektib	d e t e k t i b
detene	d e t e n e
deteni	d e t e n i
determinasyon	d e t e ɾ m i n a s j o n
detini	d e t i n i
detonasyon	d e t o n a s j o n
deyt	d e j t
dihamak	d i ʔ h a m a k
dikaayaaya	d i ʔ k a ʔ a j a ʔ a j a
dikamalakmalak	d i ʔ k a m a l a k m a l a k
dikapanipaniwala	d i ʔ k a p a n i p a n i w a l a ʔ
dilikas	d i ʔ l i k a s
dimaaari	d i ʔ m a ʔ a ʔ a ɾ i ʔ
dimabasa	d i ʔ m a b a s a
dimakatarungan	d i ʔ m a k a t a ɾ u ŋ a n
dinabubulok	d i ʔ n a b u b u l o k
dipagkakasundo	d i ʔ p a ɡ k a k a s u n d o ʔ
dipagkakaunawaan	d i ʔ p a ɡ k a k a ʔ u n a w a ʔ a n
dipangkaraniwan	d i ʔ p a ŋ k a ɾ a n i w a n
dipatas	d i ʔ p a t a s
ditao	d i ʔ t a ʔ o
diadema	d i a d e m a
diakritiko	d i a k ɾ i t i k o
dian	d i ʔ a n
diarea	d j a ɾ e a
diba	d i b a
dibaydibay	d i b a j d i b a j
dibdib	d i b d i b
dibdibin	d i b d i b i n
dibelop	d i b e l o p
dibersidad	d i b e ɾ s i d a d
dibersipikasyon	d i b e ɾ s i p i k a s j o n
diberso	d i b e ɾ s o
dibiden	d i b i d e n
dibidend	d i b i d e n d
dibidendaso	d i b i d e n d a s o
dibinidad	d i b i n i d a d
dibisyon	d i b i s j o n
diblinig	d i b l i n i ɡ
diborsiyo	d i b o ɾ s i o
didal	d i d a l
didilawan	d i d i l a w a n
digin	d i ɡ ʔ i n
diga	d i ɡ a ʔ
digain	d i ɡ a ʔ i n
digas	d i ɡ a s
dighal	d i ɡ h a l
dighay	d i ɡ h a j
diglap	d i ɡ l a p
digma	d i ɡ m a ʔ
digmaan	d i ɡ m a ʔ a n
digmaangbayan	d i ɡ m a ʔ a ŋ b a j a n
digmangbayan	d i ɡ m a ŋ b a j a n
dignayan	d i ɡ n a j a n
digri	d i ɡ ɾ i
digtalain	d i ɡ t a l a ʔ i n
dihito	d i h i t o
diigkasin	d i ʔ i ɡ k a s i n
diin	d i ʔ i n
diinan	d i ʔ i n a n
diit	d i ʔ i t
diitan	d i ʔ i t a n
dikdik	d i k d i k
dikdikbawang	d i k d i k b a w a ŋ
dike	d i k e
dikiam	d i k j a m
dikin	d i k i n
dikit	d i k i t
dikitdikit	d i k i t d i k i t
diklap	d i k l a p
diklom	d i k l o m
diko	d i k o
dikong	d i k o ŋ
dikoy	d i k o j
diksiyonaryo	d i k s i o n a ɾ j o
diksiyunaryo	d i k s i u n a ɾ j o
diksyonaryo	d i k s j o n a ɾ j o
diksyunaryo	d i k s j u n a ɾ j o
dikta	d i k t a
diktador	d i k t a d o ɾ
diktadora	d i k t a d o ɾ a
diktadura	d i k t a d u ɾ a
diktadurya	d i k t a d u ɾ j a
diktapon	d i k t a p o n
dikya	d i k j a ʔ
dila	d i l a ʔ
dilaan	d i l a ʔ a n
dilag	d i l a ɡ
dilambuwaya	d i l a m b u a j a
dilan	d i l a n
dilang	d i l a ŋ
dilanganghel	d i l a ŋ ʔ a ŋ h e l
dilangbuwaya	d i l a ŋ b u a j a
dilat	d i l a t
dilaw	d i l a w
dilawan	d i l a w a n
dilawdinsol	d i l a w d i n s o l
dili	d i l i
dilig	d i l i ɡ
diligan	d i l i ɡ a n
dilihensiya	d i l i h e n s i a
dilikas	d i l i k a s
dilim	d i l i m
diliman	d i l i m a n
dilis	d i l i s
diliwariw	d i l i w a ɾ i w
dilubyo	d i l u b j o
dimarim	d i m a ɾ i m
dimig	d i m i ɡ
dimite	d i m i t e
dimiti	d i m i t i
dimon	d i m o n
dimpol	d i m p o l
din	d i n
dinadala	d i n a d a l a
dinagipik	d i n a ɡ i p i k
dinakdakan	d i n a k d a k a n
dinala	d i n a l a
dinastiya	d i n a s t i a
dinawak	d i n a w a k
dinding	d i n d i ŋ
dine	d i n e
dinengdeng	d i n e ŋ d e ŋ
dinero	d i n e ɾ o
dinerokontante	d i n e ɾ o k o n t a n t e
dingal	d i ŋ a l
dingding	d i ŋ d i ŋ
dinggin	d i ŋ ɡ i n
dingig	d i ŋ i ɡ
dingsol	d i ŋ s o l
dingsulan	d i ŋ s u l a n
dini	d i n i
dinidilawan	d i n i d i l a w a n
dinig	d i n i ɡ
dinilawan	d i n i l a w a n
dinorado	d i n o ɾ a d o
dinosawro	d i n o s a w ɾ o
dinsol	d i n s o l
dinsulan	d i n s u l a n
dinuduguan	d i n u d u ɡ u ʔ a n
dinuduluhan	d i n u d u l u h a n
dinugan	d i n u ɡ ʔ a n
dinugan	d i n u ɡ a n
dinuguan	d i n u ɡ u ʔ a n
dinuluhan	d i n u l u h a n
dinumero	d i n u m e ɾ o
dinyig	d i n j i ɡ
dipa	d i p a
dipende	d i p e n d e
diperensiya	d i p e ɾ e n s i a
diplomasiya	d i p l o m a s i a
diplomasya	d i p l o m a s j a
diplomatiko	d i p l o m a t i k o
dipterya	d i p t e ɾ j a
direk	d i ɾ e k
direksiyon	d i ɾ e k s i o n
direksyon	d i ɾ e k s j o n
direkta	d i ɾ e k t a
direktiba	d i ɾ e k t i b a
direktor	d i ɾ e k t o ɾ
direktora	d i ɾ e k t o ɾ a
direktoryo	d i ɾ e k t o ɾ j o
diretso	d i ɾ e t͡ʃ o
diri	d i ɾ i
dirihi	d i ɾ i h i
dirihible	d i ɾ i h i b l e
diringdiri	d i ɾ i ŋ d i ɾ i
diris	d i ɾ i s
disabilidad	d i s ʔ a b i l i d a d
disempleo	d i s ʔ e m p l e o
disempleyo	d i s ʔ e m p l e o
disoras	d i s ʔ o ɾ a s
disabilidad	d i s a b i l i d a d
disaluyan	d i s a l u j a n
disempleo	d i s e m p l e o
disempleyo	d i s e m p l e o
disente	d i s e n t e
disenteria	d i s e n t e ɾ i a
disenteriya	d i s e n t e ɾ i a
disenterya	d i s e n t e ɾ j a
disenyo	d i s e n j o
disgrasiya	d i s ɡ ɾ a s i a
disgrasya	d i s ɡ ɾ a s j a
disin	d i s i n
disinteria	d i s i n t e ɾ i a
disinteriya	d i s i n t e ɾ i a
disinterya	d i s i n t e ɾ j a
disinuwebe	d i s i n u e b e
disinwebe	d i s i n w e b e
disiotso	d i s i ʔ o t͡ʃ o
disiplina	d i s i p l i n a
disiplinado	d i s i p l i n a d o
disiplinahin	d i s i p l i n a h i n
disipulo	d i s i p u l o
disisais	d i s i s a ʔ i s
disiseis	d i s i s e ʔ i s
disisiyete	d i s i s i e t e
diskaril	d i s k a ɾ i l
diskarte	d i s k a ɾ t e
diskita	d i s k i t a
disko	d i s k o
diskompiyado	d i s k o m p i a d o
diskriminasyon	d i s k ɾ i m i n a s j o n
diskubre	d i s k u b ɾ e
diskumpiyado	d i s k u m p i a d o
diskurso	d i s k u ɾ s o
diskusyon	d i s k u s j o n
diskuwalipika	d i s k u a l i p i k a
diskuwalipikado	d i s k u a l i p i k a d o
diskuwalipikasyon	d i s k u a l i p i k a s j o n
diskuwento	d i s k u e n t o
diskwalipikasyon	d i s k w a l i p i k a s j o n
diskwento	d i s k w e n t o
dismaya	d i s m a j a
dismayado	d i s m a j a d o
dispabiladera	d i s p a b i l a d e ɾ a
dispatser	d i s p a t͡ʃ e ɾ
disperas	d i s p e ɾ a s
displey	d i s p l e j
disposisyon	d i s p o s i s j o n
distansiya	d i s t a n s i a
distansya	d i s t a n s j a
disterado	d i s t e ɾ a d o
distilada	d i s t i l a d a
distinggido	d i s t i ŋ ɡ i d o
distorbo	d i s t o ɾ b o
distribusyon	d i s t ɾ i b u s j o n
distrito	d i s t ɾ i t o
disturbo	d i s t u ɾ b o
ditan	d i t ʔ a n
dita	d i t a ʔ
ditablo	d i t a b l o
ditagwayin	d i t a ɡ w a j i n
ditan	d i t a n
ditao	d i t a ʔ o
ditdit	d i t d i t
ditini	d i t i n i
ditse	d i t͡ʃ e
ditso	d i t͡ʃ o
diuna	d j u n a
diwa	d i w a ʔ
diwadiwara	d i w a d i w a ɾ a ʔ
diwang	d i w a ŋ
diwara	d i w a ɾ a ʔ
diwata	d i w a t a ʔ
diyaan	d i a ʔ a n
diyabetes	d i a b e t e s
diyabetiko	d i a b e t i k o
diyablo	d i a b l o
diyablura	d i a b l u ɾ a
diyadema	d i a d e m a
diyaket	d i a k e t
diyakonesa	d i a k o n e s a
diyakonisa	d i a k o n i s a
diyakono	d i a k o n o
diyakritiko	d i a k ɾ i t i k o
diyakuno	d i a k u n o
diyalekto	d i a l e k t o
diyalogo	d i a l o ɡ o
diyamante	d i a m a n t e
diyambol	d i a m b o l
diyametro	d i a m e t ɾ o
diyangket	d i a ŋ k e t
diyanitor	d i a n i t o ɾ
diyarea	d i a ɾ e a
diyariya	d i a ɾ i a
diyaryo	d i a ɾ j o
diyeli	d i e l i
diyeneretor	d i e n e ɾ e t o ɾ
diyenereytor	d i e n e ɾ e j t o ɾ
diyeresis	d i e ɾ e s i s
diyes	d i e s
diyesel	d i e s e l
diyesmo	d i e s m o
diyeta	d i e t a
diyobos	d i o b o s
diyodorante	d i o d o ɾ a n t e
diyoker	d i o k e ɾ
diyona	d i o n a
diyornal	d i o ɾ n a l
diyornalismo	d i o ɾ n a l i s m o
diyornalista	d i o ɾ n a l i s t a
diyos	d i o s
diyosdiyosan	d i o s d i o s a n
diyosdiyusan	d i o s d i u s a n
diyosa	d i o s a
diyosesis	d i o s e s i s
diyudo	d i u d o
diyuna	d i u n a
diyurnal	d i u ɾ n a l
diyurnalismo	d i u ɾ n a l i s m o
diyurnalista	d i u ɾ n a l i s t a
dobleantso	d o b l e ʔ a n t͡ʃ o
doblekara	d o b l e k a ɾ a
doblekayod	d o b l e k a j o d
doblepapa	d o b l e p a p a
doblehin	d o b l e h i n
doblekara	d o b l e k a ɾ a
dobolyu	d o b o l j u
dodo	d o d o ʔ
dogshow	d o ɡ ʃ o w
doksolohiya	d o k s o l o h i a
doktor	d o k t o ɾ
doktorlaway	d o k t o ɾ l a w a j
doktora	d o k t o ɾ a
doktorado	d o k t o ɾ a d o
doktrina	d o k t ɾ i n a
dokumentado	d o k u m e n t a d o
dokumental	d o k u m e n t a l
dokumentaryo	d o k u m e n t a ɾ j o
dokumentasyon	d o k u m e n t a s j o n
dokumento	d o k u m e n t o
dokyumentaryo	d o k j u m e n t a ɾ j o
dolyar	d o l j a ɾ
dominasiyon	d o m i n a s i o n
dominasiyones	d o m i n a s i o n e s
dominasyon	d o m i n a s j o n
dominasyones	d o m i n a s j o n e s
dominyo	d o m i n j o
dominyon	d o m i n j o n
donasyon	d o n a s j o n
donat	d o n a t
donya	d o n j a
doon	d o ʔ o n
doong	d o ʔ o ŋ
